Date,Month,Building,Building_Type,Occupancy,Heater_Use,AC_Use,Units_kWh,Peak_Load_kW
01/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,778,92.07
01/11/2025,11,Ravi Girls,Hostel,200,0,0,380,43.93
01/11/2025,11,Satluj,Hostel,350,0,0,565,82.45
01/11/2025,11,Chenab,Hostel,350,0,0,594,101.46
01/11/2025,11,beas,Hostel,300,0,0,491,84.55
01/11/2025,11,T6 PhD,Hostel,200,0,0,361,42.66
01/11/2025,11,Faculty Quarters,Residential,100,0,0,191,30.78
01/11/2025,11,CS Department,Academic,120,0,1,272,35.12
01/11/2025,11,Electrical Department,Academic,110,0,1,266,52.5
01/11/2025,11,Mechanical Department,Academic,130,0,1,259,48.17
01/11/2025,11,AI Center,Academic,80,0,1,220,23.43
01/11/2025,11,Central Library,Academic,150,0,1,288,52.08
01/11/2025,11,Admin Block,Academic,70,0,1,204,34.36
01/11/2025,11,Central Mess,Facility,400,0,0,670,107.87
01/11/2025,11,Central Labs,Facility,90,0,0,206,39.33
01/11/2025,11,Street Lighting,Facility,0,0,0,339,59.51
01/11/2025,11,Sports Complex,Facility,60,0,0,151,17.89
02/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,775,112.36
02/11/2025,11,Ravi Girls,Hostel,200,0,0,395,63.12
02/11/2025,11,Satluj,Hostel,350,0,0,562,88.26
02/11/2025,11,Chenab,Hostel,350,0,0,594,109.57
02/11/2025,11,beas,Hostel,300,0,0,536,98.02
02/11/2025,11,T6 PhD,Hostel,200,0,0,404,46.09
02/11/2025,11,Faculty Quarters,Residential,100,0,0,180,18.28
02/11/2025,11,CS Department,Academic,120,0,1,248,29.73
02/11/2025,11,Electrical Department,Academic,110,0,1,249,29.85
02/11/2025,11,Mechanical Department,Academic,130,0,1,291,51.54
02/11/2025,11,AI Center,Academic,80,0,1,250,41.28
02/11/2025,11,Central Library,Academic,150,0,1,283,45.94
02/11/2025,11,Admin Block,Academic,70,0,1,225,37.55
02/11/2025,11,Central Mess,Facility,400,0,0,643,105.29
02/11/2025,11,Central Labs,Facility,90,0,0,172,23.79
02/11/2025,11,Street Lighting,Facility,0,0,0,302,53.18
02/11/2025,11,Sports Complex,Facility,60,0,0,161,24.05
03/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,764,84.87
03/11/2025,11,Ravi Girls,Hostel,200,0,0,391,63.98
03/11/2025,11,Satluj,Hostel,350,0,0,586,99.36
03/11/2025,11,Chenab,Hostel,350,0,0,593,83.64
03/11/2025,11,beas,Hostel,300,0,0,525,102
03/11/2025,11,T6 PhD,Hostel,200,0,0,381,71.65
03/11/2025,11,Faculty Quarters,Residential,100,0,0,185,26.95
03/11/2025,11,CS Department,Academic,120,0,1,267,50.53
03/11/2025,11,Electrical Department,Academic,110,0,1,266,36.08
03/11/2025,11,Mechanical Department,Academic,130,0,1,257,31.56
03/11/2025,11,AI Center,Academic,80,0,1,224,41.68
03/11/2025,11,Central Library,Academic,150,0,1,282,43.26
03/11/2025,11,Admin Block,Academic,70,0,1,235,26.32
03/11/2025,11,Central Mess,Facility,400,0,0,678,79.21
03/11/2025,11,Central Labs,Facility,90,0,0,195,33.21
03/11/2025,11,Street Lighting,Facility,0,0,0,348,43.64
03/11/2025,11,Sports Complex,Facility,60,0,0,186,27.85
04/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,798,159.42
04/11/2025,11,Ravi Girls,Hostel,200,0,0,361,54.25
04/11/2025,11,Satluj,Hostel,350,0,0,591,79.49
04/11/2025,11,Chenab,Hostel,350,0,0,556,85.12
04/11/2025,11,beas,Hostel,300,0,0,495,61.48
04/11/2025,11,T6 PhD,Hostel,200,0,0,370,50.68
04/11/2025,11,Faculty Quarters,Residential,100,0,0,217,29.68
04/11/2025,11,CS Department,Academic,120,0,1,253,35.39
04/11/2025,11,Electrical Department,Academic,110,0,1,254,46.62
04/11/2025,11,Mechanical Department,Academic,130,0,1,262,44.43
04/11/2025,11,AI Center,Academic,80,0,1,247,25.11
04/11/2025,11,Central Library,Academic,150,0,1,293,39.52
04/11/2025,11,Admin Block,Academic,70,0,1,235,32.84
04/11/2025,11,Central Mess,Facility,400,0,0,600,100.54
04/11/2025,11,Central Labs,Facility,90,0,0,194,29.9
04/11/2025,11,Street Lighting,Facility,0,0,0,306,50.8
04/11/2025,11,Sports Complex,Facility,60,0,0,149,29.74
05/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,754,143.29
05/11/2025,11,Ravi Girls,Hostel,200,0,0,368,47.06
05/11/2025,11,Satluj,Hostel,350,0,0,570,108.14
05/11/2025,11,Chenab,Hostel,350,0,0,587,96.39
05/11/2025,11,beas,Hostel,300,0,0,497,88.73
05/11/2025,11,T6 PhD,Hostel,200,0,0,394,54.07
05/11/2025,11,Faculty Quarters,Residential,100,0,0,204,20.5
05/11/2025,11,CS Department,Academic,120,0,1,265,39.37
05/11/2025,11,Electrical Department,Academic,110,0,1,274,46.91
05/11/2025,11,Mechanical Department,Academic,130,0,1,277,32.65
05/11/2025,11,AI Center,Academic,80,0,1,219,40.5
05/11/2025,11,Central Library,Academic,150,0,1,307,47.36
05/11/2025,11,Admin Block,Academic,70,0,1,224,28.34
05/11/2025,11,Central Mess,Facility,400,0,0,637,126.06
05/11/2025,11,Central Labs,Facility,90,0,0,179,29.2
05/11/2025,11,Street Lighting,Facility,0,0,0,329,54.12
05/11/2025,11,Sports Complex,Facility,60,0,0,180,21.51
06/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,768,120.73
06/11/2025,11,Ravi Girls,Hostel,200,0,0,376,75
06/11/2025,11,Satluj,Hostel,350,0,0,600,114.89
06/11/2025,11,Chenab,Hostel,350,0,0,595,116.21
06/11/2025,11,beas,Hostel,300,0,0,535,105.22
06/11/2025,11,T6 PhD,Hostel,200,0,0,392,42.15
06/11/2025,11,Faculty Quarters,Residential,100,0,0,211,39.06
06/11/2025,11,CS Department,Academic,120,0,1,265,41.26
06/11/2025,11,Electrical Department,Academic,110,0,1,241,37.84
06/11/2025,11,Mechanical Department,Academic,130,0,1,288,48.13
06/11/2025,11,AI Center,Academic,80,0,1,238,30.83
06/11/2025,11,Central Library,Academic,150,0,1,314,53.29
06/11/2025,11,Admin Block,Academic,70,0,1,241,31.18
06/11/2025,11,Central Mess,Facility,400,0,0,649,121.17
06/11/2025,11,Central Labs,Facility,90,0,0,178,26.73
06/11/2025,11,Street Lighting,Facility,0,0,0,300,32.13
06/11/2025,11,Sports Complex,Facility,60,0,0,161,30.43
07/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,777,122.68
07/11/2025,11,Ravi Girls,Hostel,200,0,0,381,50.6
07/11/2025,11,Satluj,Hostel,350,0,0,576,91.63
07/11/2025,11,Chenab,Hostel,350,0,0,596,108.63
07/11/2025,11,beas,Hostel,300,0,0,526,80.07
07/11/2025,11,T6 PhD,Hostel,200,0,0,403,79.2
07/11/2025,11,Faculty Quarters,Residential,100,0,0,185,19.46
07/11/2025,11,CS Department,Academic,120,0,1,282,46.18
07/11/2025,11,Electrical Department,Academic,110,0,1,251,49.44
07/11/2025,11,Mechanical Department,Academic,130,0,1,275,49.37
07/11/2025,11,AI Center,Academic,80,0,1,239,41.68
07/11/2025,11,Central Library,Academic,150,0,1,300,58.88
07/11/2025,11,Admin Block,Academic,70,0,1,211,35.63
07/11/2025,11,Central Mess,Facility,400,0,0,600,86.54
07/11/2025,11,Central Labs,Facility,90,0,0,196,32.54
07/11/2025,11,Street Lighting,Facility,0,0,0,315,47.78
07/11/2025,11,Sports Complex,Facility,60,0,0,152,24.5
08/11/2025,11,Brahmaputra Girls,Hostel,500,0,0,761,119.18
08/11/2025,11,Ravi Girls,Hostel,200,0,0,381,38.65
08/11/2025,11,Satluj,Hostel,350,0,0,559,61.16
08/11/2025,11,Chenab,Hostel,350,0,0,559,82.41
08/11/2025,11,beas,Hostel,300,0,0,537,97.03
08/11/2025,11,T6 PhD,Hostel,200,0,0,389,64.18
08/11/2025,11,Faculty Quarters,Residential,100,0,0,184,34.71
08/11/2025,11,CS Department,Academic,120,0,1,257,41.78
08/11/2025,11,Electrical Department,Academic,110,0,1,239,36.79
08/11/2025,11,Mechanical Department,Academic,130,0,1,272,29.12
08/11/2025,11,AI Center,Academic,80,0,1,239,37.9
08/11/2025,11,Central Library,Academic,150,0,1,298,49.98
08/11/2025,11,Admin Block,Academic,70,0,1,235,34.27
